Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_905315045.2	Bacillus subtilis	Complete Genome	current	4226657	1	SAMEA8103437	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905315055.2	Bacillus subtilis	Complete Genome	current	4001615	1	SAMEA8103438	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905315685.2	Bacillus subtilis	Complete Genome	current	4169376	2	SAMEA8103444	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905315705.2	Bacillus subtilis	Complete Genome	current	4215744	1	SAMEA8103446	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905315715.2	Bacillus subtilis	Complete Genome	current	4224542	1	SAMEA8103447	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905318255.2	Bacillus subtilis	Complete Genome	current	4275379	2	SAMEA8103449	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905319135.2	Bacillus subtilis	Complete Genome	current	4324000	2	SAMEA8103452	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905319155.2	Bacillus subtilis	Complete Genome	current	4256610	1	SAMEA8103450	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905319545.2	Bacillus subtilis	Complete Genome	current	4096109	1	SAMEA8103453	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905319565.2	Bacillus subtilis	Complete Genome	current	4169161	2	SAMEA8103454	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_000740715.1	Bacillus velezensis	Scaffold	current	3951956	96	SAMN02947774	soil	China: Ranzhuang Tunnel, Hebei Province		non_saline_candidate		Bacillus velezensis
GCF_000786145.2	Bacillus velezensis	Scaffold	current	3986274	64	SAMN03106920	flowers from a wild plant	Spain: mediterranean nord-east coast		non_saline_candidate		Bacillus velezensis
GCF_000875875.2	Bacillus velezensis	Chromosome	current	4006441	6	SAMN03271888	Cotton Plant Rhizosphere	USA		non_saline_candidate		Bacillus velezensis
GCF_000973485.1	Bacillus velezensis	Complete Genome	current	3903017	1	SAMN03470201	soil	China	-	non_saline_candidate		Bacillus velezensis
GCF_001023595.1	Bacillus velezensis	Complete Genome	current	4009746	1	SAMN03733934	4-year-old roots of Korean ginseng	South Korea: Cheongju		non_saline_candidate		Bacillus velezensis
GCF_001685645.1	Bacillus velezensis	Complete Genome	current	3929772	1	SAMN04816858	Cucumber rhizosphere soil	China: Tangshan city, Hebei province		non_saline_candidate		Bacillus velezensis
GCF_002005345.1	Bacillus velezensis	Complete Genome	current	4143608	2	SAMN06196402	rice paddy soil	Korea: Goheung		non_saline_candidate		Bacillus velezensis
GCF_002057535.1	Bacillus velezensis	Complete Genome	current	3926520	1	SAMN05949245	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_002105595.1	Bacillus velezensis	Complete Genome	current	3963726	1	SAMN06711603	rhizosphere	Canada: Delhi	Potato	non_saline_candidate		Bacillus velezensis
GCF_002117165.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN03571282	rice rhizosphere soil	South Korea: Cheongwon		non_saline_candidate		Bacillus velezensis
GCF_002192235.1	Bacillus velezensis	Complete Genome	current	3929760	1	SAMN06231161	Lycium barbarum L. rhizosphere	China: Zhongning, Ningxia		non_saline_candidate		Bacillus velezensis
GCF_002204665.1	Bacillus velezensis	Scaffold	current	3905592	65	SAMN07174738	maize rhizosphere	South Africa: North West		non_saline_candidate		Bacillus velezensis
GCF_002205715.1	Bacillus velezensis	Complete Genome	current	3900066	2	SAMN07248583	Root endosphere	South Korea: Yecheon	Solanum lycopersicum	non_saline_candidate		Bacillus velezensis
GCF_002237515.1	Bacillus velezensis	Complete Genome	current	3979382	1	SAMN07371515		China: Xiqing district of Tianjin city	soil	non_saline_candidate		Bacillus velezensis
GCF_002238395.1	Bacillus velezensis	Complete Genome	current	3872560	3	SAMN07371516	field soil	China		non_saline_candidate		Bacillus velezensis
GCF_002688525.1	Bacillus velezensis	Complete Genome	current	4090582	1	SAMN07768195	soil	China: pear germplasm repository of the Institute of Pomology, Chinese Academy of Agricultural Sciences, Xingcheng		non_saline_candidate		Bacillus velezensis
GCF_002741705.1	Bacillus velezensis	Complete Genome	current	4197217	1	SAMN07836906	rare dormant volcanic soils	China: Changbai Mountain in Jilin Province		non_saline_candidate		Bacillus velezensis
GCF_002761535.1	Bacillus velezensis	Complete Genome	current	4006746	1	SAMN05980781		China: Shandong	soil microorganism	non_saline_candidate		Bacillus velezensis
GCF_002763675.1	Bacillus velezensis	Complete Genome	current	4024750	2	SAMN07840093	soil	China: Taian		non_saline_candidate		Bacillus velezensis
GCF_002764075.1	Bacillus velezensis	Complete Genome	current	4061552	1	SAMN07977821	soil	China: tianjin		non_saline_candidate		Bacillus velezensis
GCF_002844125.1	Bacillus velezensis	Complete Genome	current	4246605	1	SAMN08158236	soil	China: Dezhou		non_saline_candidate		Bacillus velezensis
GCF_002916875.1	Bacillus velezensis	Scaffold	current	3879012	36	SAMN06628691	soil used for soybean agriculture	China: Heilongjiang, Harbin	not applicable	non_saline_candidate		Bacillus velezensis
GCF_002968415.1	Bacillus velezensis	Complete Genome	current	4385679	2	SAMN08450108	bamboo forest soil	China:Tianmu Mountain		non_saline_candidate		Bacillus velezensis
GCF_002998915.1	Bacillus velezensis	Scaffold	current	3851762	28	SAMN08639691	soil	China: Tibet		non_saline_candidate		Bacillus velezensis
GCF_003045165.1	Bacillus velezensis	Complete Genome	current	3929794	1	SAMN08826799	soil	South Korea: Daejeon		non_saline_candidate		Bacillus velezensis
GCF_003047005.1	Bacillus velezensis	Complete Genome	current	3893072	1	SAMN08826801	soil	Korea: Daejeon		non_saline_candidate		Bacillus velezensis
GCF_003047025.1	Bacillus velezensis	Complete Genome	current	3893071	1	SAMN08826800	soil	Korea: Daejeon		non_saline_candidate		Bacillus velezensis
GCF_003047045.1	Bacillus velezensis	Complete Genome	current	3893029	1	SAMN08826802	soil	Korea: Daejeon		non_saline_candidate		Bacillus velezensis
GCF_003071465.1	Bacillus velezensis	Complete Genome	current	3975084	1	SAMN06759344	Pepper plant	Korea: Gwangyang Province		non_saline_candidate		Bacillus velezensis
GCF_003150855.1	Bacillus velezensis	Complete Genome	current	3913872	1	SAMN09212893	banana rhizosphere soil	China: Hainan province		non_saline_candidate		Bacillus velezensis
GCF_003285085.1	Bacillus velezensis	Complete Genome	current	4321463	2	SAMN09354865	rhizosphere soil	China		non_saline_candidate		Bacillus velezensis
GCF_003390415.1	Bacillus velezensis	Complete Genome	current	3919798	1	SAMN09759669		China	plant	non_saline_candidate		Bacillus velezensis
GCF_003431885.1	Bacillus velezensis	Complete Genome	current	3929745	1	SAMN04419262	rhizosphere soil of field-grown rice	South Korea: Cheongwon		non_saline_candidate		Bacillus velezensis
GCF_003441635.1	Bacillus velezensis	Chromosome	current	4009999	3	SAMN09856379	soil	USA		non_saline_candidate		Bacillus velezensis
GCF_003546955.1	Bacillus velezensis	Complete Genome	current	3978954	1	SAMN09951221	soil	Belarus: Vileyka District		non_saline_candidate		Bacillus velezensis
GCF_003854915.1	Bacillus velezensis	Complete Genome	current	4141063	1	SAMN10437817	potato rhizosphere	Canada:Delhi		non_saline_candidate		Bacillus velezensis
GCF_003860445.1	Bacillus velezensis	Complete Genome	current	4118468	1	SAMN09475269	rhizosphere soil	China		non_saline_candidate		Bacillus velezensis
GCF_004009895.1	Bacillus velezensis	Scaffold	current	3878921	2	SAMN10491987	root	China:Zhengzhou	Vitis labrusca x Vitis vinifera	non_saline_candidate		Bacillus velezensis
GCF_004101805.1	Bacillus velezensis	Complete Genome	current	3997902	1	SAMN10268423	Mango Ochard	Mexico: Sinaloa	plants	non_saline_candidate		Bacillus velezensis
GCF_004116955.1	Bacillus vallismortis	Complete Genome	current	4286362	1	SAMN08222596	soil	USA		non_saline_candidate		Bacillus vallismortis
GCF_004331895.1	Bacillus velezensis	Chromosome	current	3715675	8	SAMN11037194	soil	Iran		non_saline_candidate		Bacillus velezensis
GCF_004799565.1	Bacillus velezensis	Complete Genome	current	3947206	1	SAMN11397814	soil	Brazil: Mato Grosso		non_saline_candidate		Bacillus velezensis
GCF_006489235.1	Bacillus velezensis	Complete Genome	current	3983303	1	SAMN12015793	inner tissues of cotton plant (Gossypium sp.)	Tajikistan: Dushanbe		non_saline_candidate		Bacillus velezensis
GCF_006965525.1	Bacillus velezensis	Complete Genome	current	4063541	1	SAMN08142170	soil of root	China	rice	non_saline_candidate		Bacillus velezensis
GCF_008367895.1	Bacillus velezensis	Complete Genome	current	3915550	1	SAMN12671280	rhizospheric soil of Panax notogensing	China: Yunnan Province		non_saline_candidate		Bacillus velezensis
GCF_008727675.1	Bacillus velezensis	Complete Genome	current	3995978	1	SAMN12784817	soil	China	Bacillus	non_saline_candidate		Bacillus velezensis
GCF_009362235.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN12990507	soil	China		non_saline_candidate		Bacillus velezensis
GCF_009738165.1	Bacillus velezensis	Complete Genome	current	4004056	1	SAMN13164714	soil	China:baoding		non_saline_candidate		Bacillus velezensis
GCF_009931675.1	Bacillus velezensis	Complete Genome	current	4050296	1	SAMN13885683	soil	South Korea:Jeong-si		non_saline_candidate		Bacillus velezensis
GCF_010671715.1	Bacillus velezensis	Scaffold	current	3960516	74	SAMN14074146	rhizosphere	Pakistan	Triticum aestivum	non_saline_candidate		Bacillus velezensis
GCF_011100445.1	Bacillus velezensis	Complete Genome	current	3929583	1	SAMN14253886	Citrus rhizosphere soil	China: Jiangxi	soil	non_saline_candidate		Bacillus velezensis
GCF_011769925.1	Bacillus velezensis	Complete Genome	current	3929585	1	SAMN14422846	soil	Belarus		non_saline_candidate		Bacillus velezensis
GCF_012972775.1	Bacillus velezensis	Scaffold	current	4148778	59	SAMN14613775	soil	Brazil: Pocon Pantanal		non_saline_candidate		Bacillus velezensis
GCF_013201135.1	Bacillus velezensis	Complete Genome	current	3929218	1	SAMN14912738	Farmland soils	China: Shenyang, Liaoning		non_saline_candidate		Bacillus velezensis
GCF_013201465.1	Bacillus velezensis	Complete Genome	current	3908940	1	SAMN14978898	Casuarina equisetifolia rhizosphere	China: Zhejiang		non_saline_candidate		Bacillus velezensis
GCF_023920485.1	Bacillus vallismortis	Chromosome	current	4115091	15	SAMN26182612	root	Russia	Artemisia	non_saline_candidate		Bacillus vallismortis
GCF_035808955.1	Bacillus vallismortis	Scaffold	current	4084459	56	SAMN33940618	soil	Argentina		non_saline_candidate		Bacillus vallismortis
GCF_035810575.1	Bacillus vallismortis	Scaffold	current	3950718	57	SAMN33940525	soil	USA		non_saline_candidate		Bacillus vallismortis
GCF_035810595.1	Bacillus vallismortis	Scaffold	current	3818239	44	SAMN33940524	soil	USA		non_saline_candidate		Bacillus vallismortis
GCF_040784915.1	Bacillus vallismortis	Complete Genome	current	4251766	1	SAMN42317403	soil	China: Shangdong		non_saline_candidate		Bacillus vallismortis
GCF_013285085.2	Bacillus velezensis	Complete Genome	current	3916868	1	SAMN15012571	black pepper plant root	Viet Nam: Chu Se, Gia Lai	black pepper plant	non_saline_candidate		Bacillus velezensis
GCF_013401395.2	Bacillus velezensis	Complete Genome	current	4003884	2	SAMN13256649	soil	Brazil: Parana		non_saline_candidate		Bacillus velezensis
GCF_013694265.1	Bacillus velezensis	Complete Genome	current	3917533	1	SAMN15484393	Amazonic soil	Brazil: Roraima		non_saline_candidate		Bacillus velezensis
GCF_013701805.1	Bacillus velezensis	Complete Genome	current	3927799	1	SAMN15293208	soil	China: Xingtai, Hebei		non_saline_candidate		Bacillus velezensis
GCF_014180705.2	Bacillus velezensis	Complete Genome	current	4141240	1	SAMN15395675	soil	South Korea:Yangyang-gun		non_saline_candidate		Bacillus velezensis
GCF_014211995.1	Bacillus velezensis	Complete Genome	current	3894648	1	SAMN15755127	rhizosphere of cotton	China:Xinjiang Province		non_saline_candidate		Bacillus velezensis
GCF_014495825.1	Bacillus velezensis	Complete Genome	current	4068479	1	SAMN15947555	rhizosphere soil	China: Beijing		non_saline_candidate		Bacillus velezensis
GCF_014622705.1	Bacillus velezensis	Complete Genome	current	3929800	1	SAMN15944840	soil	China:Beijing		non_saline_candidate		Bacillus velezensis
GCF_014706595.1	Bacillus velezensis	Complete Genome	current	3969447	1	SAMN13111910	soil	South Korea	ginseng	non_saline_candidate		Bacillus velezensis
GCF_016766595.1	Bacillus velezensis	Complete Genome	current	3940023	1	SAMN17306585	rhizosphere soil	China: Guizhou	tobacco	non_saline_candidate		Bacillus velezensis
GCF_016772025.1	Bacillus velezensis	Scaffold	current	4047570	8	SAMN16949412	roots, endophytic	Greece: Spata	Salvia fruticosa	non_saline_candidate		Bacillus velezensis
GCF_016834435.1	Bacillus velezensis	Complete Genome	current	4011788	1	SAMN17620320	rhizosphere soil	China: Guizhou	pepper	non_saline_candidate		Bacillus velezensis
GCF_017599365.1	Bacillus velezensis	Scaffold	current	4113266	24	SAMN18386958	soil	Pakistan: Thal Desert		non_saline_candidate		Bacillus velezensis
GCF_018143035.1	Bacillus velezensis	Scaffold	current	3878197	37	SAMN06628692	soil used for soybean agriculture	China: Heilongjiang, Harbin	not applicable	non_saline_candidate		Bacillus velezensis
GCF_018223705.1	Bacillus velezensis	Complete Genome	current	3914314	1	SAMN18838141		China:Chifeng	soil	non_saline_candidate		Bacillus velezensis
GCF_018732185.1	Bacillus velezensis	Complete Genome	current	4085407	1	SAMN19471376	soil	China:Inner Mongolia		non_saline_candidate		Bacillus velezensis
GCF_018771665.1	Bacillus velezensis	Complete Genome	current	4182261	1	SAMN19489369	soil	Iran: Hamedan	Solanum tuberosum	non_saline_candidate		Bacillus velezensis
GCF_018771705.1	Bacillus velezensis	Complete Genome	current	4132553	2	SAMN19490066	soil	Iran	Solanum lycopersicum	non_saline_candidate		Bacillus velezensis
GCF_019163475.1	Bacillus velezensis	Complete Genome	current	3973236	1	SAMN19079027	tomato rhizosphere soil	China: Heilongjiang Province	missing	non_saline_candidate		Bacillus velezensis
GCF_019222745.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN20060704	soil crust	China: Yinchuan		non_saline_candidate		Bacillus velezensis
GCF_019334525.1	Bacillus velezensis	Complete Genome	current	4053089	1	SAMN20201267	Atlantic forest soil	Brazil: Parana		non_saline_candidate		Bacillus velezensis
GCF_019449395.1	Bacillus velezensis	Complete Genome	current	4030799	1	SAMN18614933	soil	China		non_saline_candidate		Bacillus velezensis
GCF_019464595.1	Bacillus velezensis	Complete Genome	current	3896799	1	SAMN19519143	watermelon rhizosphere soil	China: Heilongjiang Province	watermelon	non_saline_candidate		Bacillus velezensis
GCF_019754015.1	Bacillus velezensis	Complete Genome	current	3973236	1	SAMN20821524	soil sample	China:Qiqihar	watermelon	non_saline_candidate		Bacillus velezensis
GCF_019880485.1	Bacillus velezensis	Complete Genome	current	4223782	4	SAMN20709964	soil	Belarus:Barysaw District		non_saline_candidate		Bacillus velezensis
GCF_020084885.1	Bacillus velezensis	Complete Genome	current	3926914	1	SAMN19822038	soil	China: Chongqing		non_saline_candidate		Bacillus velezensis
GCF_020162235.1	Bacillus velezensis	Complete Genome	current	4088756	1	SAMN21540783	garden soil	USA:California		non_saline_candidate		Bacillus velezensis
GCF_020995365.1	Bacillus velezensis	Complete Genome	current	4067009	1	SAMN23076874	soils	China: HUNAN		non_saline_candidate		Bacillus velezensis
GCF_021184205.1	Bacillus velezensis	Complete Genome	current	4121848	1	SAMN23765541	soil	China: Jinan, Shandong Province	grape	non_saline_candidate		Bacillus velezensis
GCF_021245705.1	Bacillus velezensis	Scaffold	current	3912339	51	SAMN23139090	tea garden soil	China: Zhejiang, Hangzhou		non_saline_candidate		Bacillus velezensis
GCF_021390055.1	Bacillus velezensis	Complete Genome	current	3929552	1	SAMN24147913	soil	China: Weinan,Shaanxi Province		non_saline_candidate		Bacillus velezensis
GCF_021650855.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN25145124	soil	South Korea: Jeonju		non_saline_candidate		Bacillus velezensis
GCF_021892375.1	Bacillus velezensis	Scaffold	current	3939663	47	SAMN25352221	soil	Russia		non_saline_candidate		Bacillus velezensis
GCF_022344025.1	Bacillus velezensis	Complete Genome	current	4033884	1	SAMN25893642	soil	South Korea: Yangpyeong	Lettuce	non_saline_candidate		Bacillus velezensis
GCF_022370935.1	Bacillus velezensis	Complete Genome	current	3932768	3	SAMN21927082	rhizosphere soil of stock	China: Hainan	tomato	non_saline_candidate		Bacillus velezensis
GCF_022371095.1	Bacillus velezensis	Complete Genome	current	4081758	1	SAMN25982136	soil	China: Haikou city, Hainan province		non_saline_candidate		Bacillus velezensis
GCF_022385235.1	Bacillus velezensis	Complete Genome	current	3914377	2	SAMN25963216	rhizosphere soil	China:Xiyang Village, Youxi County, Sanming City, Fujian Province		non_saline_candidate		Bacillus velezensis
GCF_022488425.1	Bacillus velezensis	Complete Genome	current	4005132	1	SAMN26182808	rhizosphere soil	not applicable		non_saline_candidate		Bacillus velezensis
GCF_023093915.1	Bacillus velezensis	Complete Genome	current	3918461	1	SAMN27578326	soil	China: Nanjing		non_saline_candidate		Bacillus velezensis
GCF_023278305.1	Bacillus velezensis	Complete Genome	current	3962671	1	SAMN18451302	plant	China: shandong		non_saline_candidate		Bacillus velezensis
GCF_023516155.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN28187200	soil	China:Wuhan		non_saline_candidate		Bacillus velezensis
GCF_023516195.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN28200750	soil	China		non_saline_candidate		Bacillus velezensis
GCF_023586825.4	Bacillus velezensis	Complete Genome	current	4184031	4	SAMN25898145	Rizosphere soil sample	Russia: Krasnodar region		non_saline_candidate		Bacillus velezensis
GCF_023586845.4	Bacillus velezensis	Complete Genome	current	4184250	4	SAMN25898146	Rizosphere soil sample	Russia: Krasnodar region		non_saline_candidate		Bacillus velezensis
GCF_023823715.1	Bacillus velezensis	Complete Genome	current	3963345	2	SAMN22304394	soil	China		non_saline_candidate		Bacillus velezensis
GCF_023823735.1	Bacillus velezensis	Complete Genome	current	3963155	1	SAMN22304395	soil	China		non_saline_candidate		Bacillus velezensis
GCF_023921085.1	Bacillus velezensis	Complete Genome	current	3980135	1	SAMN29096890	soil	Brazil: Italva, Rio de Janeiro		non_saline_candidate		Bacillus velezensis
GCF_024508215.1	Bacillus velezensis	Complete Genome	current	4099109	1	SAMN29961780	soil	China:Xuchang city, Henan province	tobacco	non_saline_candidate		Bacillus velezensis
GCF_024666145.1	Bacillus velezensis	Chromosome	current	3970959	7	SAMN30168657	Soil from rainforest	Brazil: Parana		non_saline_candidate		Bacillus velezensis
GCF_024917135.1	Bacillus velezensis	Complete Genome	current	3929846	1	SAMN30502274	rhizosphere soil	China: Guizhou	Sophora tonkinensis Radix	non_saline_candidate		Bacillus velezensis
GCF_024919095.1	Bacillus velezensis	Complete Genome	current	4010225	1	SAMN30473216	Commercial plant nursery	Viet Nam: Da Lat		non_saline_candidate		Bacillus velezensis
GCF_024925505.1	Bacillus velezensis	Complete Genome	current	4192280	1	SAMN30456206	soil	South Korea:Buyeo		non_saline_candidate		Bacillus velezensis
GCF_025857215.1	Bacillus velezensis	Complete Genome	current	4035016	1	SAMN30498090	Isolation from the rhizosphere of bok choy	China: Hangzhou		non_saline_candidate		Bacillus velezensis
GCF_025914055.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN31309488	soil	China:Guangzhou		non_saline_candidate		Bacillus velezensis
GCF_026210635.1	Bacillus velezensis	Complete Genome	current	3929247	1	SAMN29059448	soil	China: Beijing, Yanqing District		non_saline_candidate		Bacillus velezensis
GCF_026240675.1	Bacillus velezensis	Complete Genome	current	3929781	1	SAMN31269340	soil	China:Shanghai		non_saline_candidate		Bacillus velezensis
GCF_026241745.1	Bacillus velezensis	Scaffold	current	4016820	45	SAMN31675477	Navel orange rhizosphere soil	China:JiangXi		non_saline_candidate		Bacillus velezensis
GCF_026787705.1	Bacillus velezensis	Scaffold	current	4101015	48	SAMN25843163	soil	France: Col du Grand Saint Bernard		non_saline_candidate		Bacillus velezensis
GCF_029282585.1	Bacillus velezensis	Complete Genome	current	4296610	1	SAMN33451486	rhizosphere soil of corn crops	Mexico		non_saline_candidate		Bacillus velezensis
GCF_029688985.1	Bacillus velezensis	Scaffold	current	3891665	11	SAMN34089981	soil	China: Shenyang		non_saline_candidate		Bacillus velezensis
GCF_029834585.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN34066145	soil	China:Hubei		non_saline_candidate		Bacillus velezensis
GCF_029846455.1	Bacillus velezensis	Scaffold	current	4071225	43	SAMN34136143	muskmelon rhizosphere	China: JiangSu		non_saline_candidate		Bacillus velezensis
GCF_030028255.1	Bacillus velezensis	Complete Genome	current	3858300	1	SAMN35003787	rhizosphere	China: Yunnan province	maize	non_saline_candidate		Bacillus velezensis
GCF_030028335.1	Bacillus velezensis	Complete Genome	current	4078641	1	SAMN35005763	soil	China:hainan		non_saline_candidate		Bacillus velezensis
GCF_030053815.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN35054919	soil	China:Harbin		non_saline_candidate		Bacillus velezensis
GCF_030123285.1	Bacillus velezensis	Complete Genome	current	4002233	1	SAMN34374909	grassland soil attached to a mushroom	Denmark: Birkeroed		non_saline_candidate		Bacillus velezensis
GCF_030123305.1	Bacillus velezensis	Complete Genome	current	3929586	1	SAMN34375025	rhizosphere soil	China: Neijiang, Sichuan Province		non_saline_candidate		Bacillus velezensis
GCF_030252385.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN35566365	rhizosphere	China: Jiangsu		non_saline_candidate		Bacillus velezensis
GCF_030284665.1	Bacillus velezensis	Scaffold	current	4081504	16	SAMN35683875	rhizosphere	Bulgaria	Oryza sativa	non_saline_candidate		Bacillus velezensis
GCF_030291255.1	Bacillus velezensis	Complete Genome	current	3954988	1	SAMN29376856	soil	Brazil: Italva, Rio de Janeiro		non_saline_candidate		Bacillus velezensis
GCF_030378485.1	Bacillus velezensis	Complete Genome	current	4181346	1	SAMN35788485	Healthy tobacco rhizosphere soil	China:Lijiang	Tobacco	non_saline_candidate		Bacillus velezensis
GCF_030444515.1	Bacillus velezensis	Complete Genome	current	3891780	1	SAMN33285327	Humic Soil	not collected	missing	non_saline_candidate		Bacillus velezensis
GCF_030518635.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN36459674	soil	China: Nanchang		non_saline_candidate		Bacillus velezensis
GCF_030704265.1	Bacillus velezensis	Complete Genome	current	3980773	1	SAMN36797137	healthy cucumber rhizosphere soil.	China: Beiwang Village, Luolong District, Luoyang City, Henan Province	Cucumis sativus L.	non_saline_candidate		Bacillus velezensis
GCF_031118725.1	Bacillus velezensis	Scaffold	current	3919106	13	SAMN37190764	rhizosphere soil	South Africa	Zea mays	non_saline_candidate		Bacillus velezensis
GCF_031118995.1	Bacillus velezensis	Scaffold	current	3892069	12	SAMN37190995	soil	China: Altay City, Xinjiang Uygur Autonomous Region		non_saline_candidate		Bacillus velezensis
GCF_031308755.1	Bacillus velezensis	Complete Genome	current	3929698	1	SAMN36005331	soil	China:Hebei		non_saline_candidate		Bacillus velezensis
GCF_031344975.1	Bacillus velezensis	Complete Genome	current	4237216	1	SAMN37277514	soil metagenome	China:Guizhou	Ginger	non_saline_candidate		Bacillus velezensis
GCF_031460235.1	Bacillus velezensis	Scaffold	current	3935018	24	SAMN37321166	rhizosphere soil	South Africa	Zea mays	non_saline_candidate		Bacillus velezensis
GCF_031883715.1	Bacillus velezensis	Complete Genome	current	4116231	1	SAMN37176097	rhizosphere of rice, pepper, cucumber, tomato	South Korea	missing	non_saline_candidate		Bacillus velezensis
GCF_032291985.1	Bacillus velezensis	Complete Genome	current	4143654	2	SAMN37527114	root	South Korea	Ipomoea batatas	non_saline_candidate		Bacillus velezensis
GCF_032686825.1	Bacillus velezensis	Scaffold	current	3891724	12	SAMN37688149	soil	China		non_saline_candidate		Bacillus velezensis
GCF_033170175.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN37883768	orchard soil	China		non_saline_candidate		Bacillus velezensis
GCF_033547055.1	Bacillus velezensis	Complete Genome	current	4283756	1	SAMN38103670	soil	China:Taian		non_saline_candidate		Bacillus velezensis
GCF_033798645.1	Bacillus velezensis	Chromosome	current	4027139	1	SAMN38145391	Potato rhizosphere	Colombia:Cundinamarca		non_saline_candidate		Bacillus velezensis
GCF_033808435.1	Bacillus velezensis	Complete Genome	current	4064612	1	SAMN38171755	soil	South Korea: Gyeongsangbuk-do, Sangju-si		non_saline_candidate		Bacillus velezensis
GCF_034060585.1	Bacillus velezensis	Complete Genome	current	3984866	1	SAMN38257321	rhizosphere soil of schefflera heptaphylla	China:Yunnan		non_saline_candidate		Bacillus velezensis
GCF_034061945.1	Bacillus velezensis	Complete Genome	current	4046066	1	SAMN38258329	rhizosphere soil of schefflera heptaphylla	China:Yunnan		non_saline_candidate		Bacillus velezensis
GCF_034554755.1	Bacillus velezensis	Complete Genome	current	4043200	1	SAMN38583043	soil	China:Lijiang	Tobacco	non_saline_candidate		Bacillus velezensis
GCF_035808035.1	Bacillus velezensis	Scaffold	current	3956781	29	SAMN33940666	agave root	India		non_saline_candidate		Bacillus velezensis
GCF_035808075.1	Bacillus velezensis	Scaffold	current	3892229	12	SAMN33940664	Rice rhisosphere soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035813315.1	Bacillus velezensis	Scaffold	current	4115982	37	SAMN33940384	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035813375.1	Bacillus velezensis	Scaffold	current	3961798	64	SAMN33940382	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035823195.1	Bacillus velezensis	Scaffold	current	4126432	64	SAMN33940723	soil	Trinidad and Tobago: Trinidad		non_saline_candidate		Bacillus velezensis
GCF_035823275.1	Bacillus velezensis	Scaffold	current	3902798	80	SAMN33940719	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035823295.1	Bacillus velezensis	Scaffold	current	3938825	103	SAMN33940720	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035823345.1	Bacillus velezensis	Scaffold	current	3870270	23	SAMN33940718	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_035823435.1	Bacillus velezensis	Scaffold	current	3875017	25	SAMN33940716	soil	not collected		non_saline_candidate		Bacillus velezensis
GCF_036216805.1	Bacillus velezensis	Scaffold	current	4004456	25	SAMN32974838	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus velezensis
GCF_000262385.1	Bacillus velezensis YAU B9601-Y2	Complete Genome	current	4238624	1	SAMN02603232	wheat rhizosphere			non_saline_candidate		Bacillus velezensis
GCF_000341875.1	Bacillus velezensis UCMB5036	Complete Genome	current	3910324	1	SAMEA2272633	cotton plant	Ukraine		non_saline_candidate		Bacillus velezensis
GCF_037889395.1	Bacillus velezensis	Scaffold	current	4007168	26	SAMN40597287	soil	China: Guangdong, Zhanjiang		non_saline_candidate		Bacillus velezensis
GCF_038442215.1	Bacillus velezensis	Complete Genome	current	4036959	1	SAMN38777322	plantation	Spain:Malaga	cucumber	non_saline_candidate		Bacillus velezensis
GCF_038594295.1	Bacillus velezensis	Scaffold	current	3891934	33	SAMN40732503	soil	Russia: Republic of Tatarstan, Kazan		non_saline_candidate		Bacillus velezensis
GCF_039851945.1	Bacillus velezensis	Complete Genome	current	3929757	1	SAMN41432343		China: Inter-root soil of Panax pseudoginseng in Wenshan, Yunnan Province, China	inter-root soil	non_saline_candidate		Bacillus velezensis
